gender,age,experience,education,hired
0,42,1,1,0
1,37,12,2,1
0,29,12,0,1
0,21,17,0,1
0,41,2,2,0
1,40,6,1,0
0,33,13,1,1
0,48,19,0,1
0,36,16,1,1
1,49,11,1,1
0,33,15,1,1
0,34,11,0,0
0,23,14,2,1
0,49,9,1,1
1,26,6,0,0
0,38,19,0,1
1,39,4,2,0
1,25,0,1,0
1,35,16,1,1
0,45,2,2,0
1,22,12,2,1
0,30,13,0,1
1,44,17,0,1
1,38,3,2,0
1,47,17,1,1
1,33,4,0,0
1,25,15,0,1
1,43,0,1,0
1,44,13,0,1
1,21,14,1,1
0,42,8,1,0
0,21,14,1,1
1,38,16,2,1
1,35,3,2,0
1,37,11,2,1
0,31,4,1,0
1,41,4,1,0
0,46,10,2,1
0,45,5,0,0
0,42,6,1,0
0,47,13,0,1
0,47,10,0,0
1,37,12,1,1
1,33,1,1,0
1,21,6,0,0
1,22,19,0,1
1,29,3,2,0
0,23,7,2,1
1,21,19,1,1
1,41,18,2,1
0,36,12,2,1
1,43,13,2,1
0,26,9,2,0
1,48,10,0,0
0,37,1,1,0
1,25,8,2,1
1,25,16,0,1
0,26,2,0,0
0,23,5,0,0
0,41,4,2,0
0,43,4,2,0
0,25,14,1,1
0,41,16,2,1
0,25,8,2,0
0,30,2,0,0
1,30,19,1,1
1,39,16,2,1
0,37,9,2,1
1,41,2,0,0
1,34,17,0,1
1,29,17,2,1
1,34,16,1,1
0,21,2,1,0
1,39,2,0,0
0,33,5,0,0
1,33,12,2,1
1,24,14,0,1
1,21,8,2,0
0,37,3,1,0
1,28,13,1,1
0,22,4,2,0
1,48,1,0,0
0,28,10,1,1
1,27,8,0,0
0,46,2,1,0
0,46,8,2,0
1,22,2,2,0
0,42,1,2,0
1,42,11,1,1
1,23,9,0,0
1,47,8,0,0
1,38,14,0,1
1,32,7,1,0
1,21,4,1,0
1,42,10,1,1
1,32,1,1,0
1,25,14,1,1
1,47,5,0,0
1,45,7,1,0
0,37,4,1,0
0,36,15,0,1
1,35,17,1,1
1,43,5,0,0
1,35,4,0,0
1,25,15,2,1
1,41,12,2,1
1,34,4,2,0
1,22,12,2,1
1,31,16,1,1
0,39,17,2,1
1,27,7,0,0
0,26,12,1,1
1,48,18,2,1
1,22,2,0,0
0,26,7,1,0
1,38,1,1,0
0,22,7,2,1
1,38,12,1,1
1,35,12,0,1
0,47,0,1,0
1,39,5,0,0
0,22,18,1,1
1,40,15,2,1
0,45,7,0,0
0,26,0,1,0
1,21,15,1,1
1,44,8,1,1
0,35,12,0,1
1,48,10,0,0
1,43,12,0,1
1,30,9,2,1
0,39,3,2,0
0,37,5,0,0
0,25,6,1,0
0,49,4,2,0
0,24,10,0,0
0,30,12,1,1
0,44,18,2,1
0,37,9,1,0
0,30,9,1,0
1,37,10,1,0
0,48,6,1,0
1,40,17,2,1
1,44,3,2,0
1,25,1,2,0
0,22,13,0,1
